iter	Passed	Remaining
428	2662	440
429	2668	434
430	2674	428
431	2680	421
432	2687	415
433	2694	409
434	2700	403
435	2706	397
436	2713	391
437	2720	385
438	2726	378
439	2732	372
440	2738	366
441	2745	360
442	2750	353
443	2756	347
444	2763	341
445	2770	335
446	2775	329
447	2783	323
448	2789	316
449	2795	310
450	2801	304
451	2807	298
452	2813	291
453	2818	285
454	2823	279
455	2830	273
456	2837	266
457	2841	260
458	2848	254
459	2854	248
460	2859	241
461	2865	235
462	2871	229
463	2876	223
464	2882	216
465	2886	210
466	2894	204
467	2909	198
468	2924	193
469	2938	187
470	2951	181
471	2966	175
472	2974	169
473	2979	163
474	2985	157
475	2994	150
476	3002	144
477	3007	138
478	3014	132
479	3020	125
480	3028	119
481	3036	113
482	3046	107
483	3057	101
484	3070	94
485	3076	88
486	3085	82
487	3094	76
488	3099	69
489	3105	63
490	3111	57
491	3117	50
492	3123	44
493	3129	38
494	3135	31
495	3142	25
496	3149	19
497	3156	12
498	3161	6
499	3167	0
